"Story","Title","Result","Date","Stability","Duration (s)"
"Resta de la calculadora","Resta de dos numeros de forma correcta.","FAILURE","2020-12-09T21:00:33.247686-05:00[America/Bogota]","0.0","3.88"
"Suma de la calculadora","Suma de dos numeros de forma correcta.","FAILURE","2020-12-09T21:00:37.262544-05:00[America/Bogota]","0.0","0.11"
