"Story","Title","Result","Date","Stability","Duration (s)"
"Suma de la calculadora","Intento de suma con cantidad de parametros incorrecta","PENDING","2020-12-09T20:34:22.129538-05:00[America/Bogota]","0.0","0.03"
"Suma de la calculadora","Intento de suma con caracteres no validos","PENDING","2020-12-09T20:34:22.161692-05:00[America/Bogota]","0.0","0.01"
